"INSTNM","STABBR","REGION","ADM_RATE","UGDS","COSTT4_A","MD_EARN_WNE_P10","MD_EARN_WNE_P6","DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","isNCF"
"Rockford University","IL","GL",0.4903,972,40569,45200,36600,18750,0.5788770053,0.491638796,0.6226415094,0.6576086957,0.3991,0.4721,0.6613,FALSE
"Roosevelt University","IL","GL",0.6485,2377,43501,43600,36800,18000,0.45645103,0.360253365,0.4667405765,0.6428571429,0.3936,0.3981,0.6897,FALSE
"Dominican University","IL","GL",0.6379,2098,41118,47100,35800,20834,0.6351219512,0.5359281437,0.6358974359,0.7441860465,0.6178,0.6166,0.8195,FALSE
"Rush University","IL","GL",,120,,85900,63500,18681,0.8488372093,,,,,,,FALSE
"Saint Francis Medical Center College of Nursing","IL","GL",,386,,55400,51900,15000,0.7627118644,0.6504854369,,,,,,FALSE
"University of St Francis","IL","GL",0.4678,1590,40305,53100,44100,20280,0.652688172,0.5620155039,0.6790540541,0.6941489362,0.6225,0.6443,0.7973,FALSE
"St. John's College-Department of Nursing","IL","GL",,122,,,,16239,,,,,,,,FALSE
"Saint Xavier University","IL","GL",0.7395,2943,40553,48200,38100,18000,0.5963045913,0.4921540656,0.6254237288,0.7090909091,0.545,0.5097,0.7319,FALSE
"University of Illinois at Springfield","IL","GL",0.5282,2704,23955,44600,34800,14000,0.5764139591,0.4664804469,0.6087751371,0.7293233083,0.5079,0.5078,0.7745,FALSE
"Sauk Valley Community College","IL","GL",,1274,12269,30300,24700,5336,0.5562632696,0.4525862069,0.6536312849,0.6666666667,,,,FALSE
"Shawnee Community College","IL","GL",,845,17732,25100,20400,,,,,,,,,FALSE
"Saint Augustine College","IL","GL",,1076,19146,26300,23800,2250,,,,,0.4734,,,FALSE
"University of Saint Mary of the Lake","IL","GL",,,,,,,,,,,,,,FALSE
"Southeastern Illinois College","IL","GL",,839,12555,28200,21900,,,,,,,,,FALSE
"National Latino Education Institute","IL","GL",0.6364,13,,29400,24500,5095,0.5802469136,0.5535714286,,,,,,FALSE
"Spertus College","IL","GL",,,,,,,,,,,,,,FALSE
"Spoon River College","IL","GL",,967,15161,29700,25400,5500,0.4280155642,0.2972027972,0.6024096386,0.564516129,,,,FALSE
"Saint Anthony College of Nursing","IL","GL",0,221,,60600,54100,20000,0.8376623377,0.776119403,,,,,,FALSE
"Educators of Beauty College of Cosmetology-Sterling","IL","GL",,36,,16900,14100,8389,0.2727272727,0.2054794521,,,,,,FALSE
"Southern Illinois University-Carbondale","IL","GL",0.7185,9447,27945,42900,33200,16000,0.5050697085,0.3541351106,0.5508957655,0.6858884201,0.4076,0.4587,0.6952,FALSE
"Southern Illinois University-Edwardsville","IL","GL",0.8744,10786,23065,43000,36100,14286,0.5838428757,0.4183895539,0.604482132,0.7253668763,0.4864,0.5051,0.7415,FALSE
"Taylor Business Institute","IL","GL",0.8767,115,22850,22500,16700,7182,0.1354581673,0.1308016878,,,,,,FALSE
"Telshe Yeshiva-Chicago","IL","GL",1,77,18100,,,,,,,,0.15,0.2424,0.9091,FALSE
"South Suburban College","IL","GL",,2821,10743,26200,19900,,,,,,,,,FALSE
"Tri-County Beauty Academy","IL","GL",,16,,,,,,,,,,,,FALSE
"Trinity Christian College","IL","GL",0.6423,974,41697,42200,38300,21500,0.6824858757,0.5050167224,0.7350993377,0.8133802817,0.6508,0.5954,0.8286,FALSE
"Trinity International University-Illinois","IL","GL",0.7303,699,44084,41100,32300,16556,0.5627198124,0.4429708223,0.5850340136,0.7747252747,0.4872,0.5292,0.6211,FALSE
"Triton College","IL","GL",,8029,10437,34300,26300,5500,0.3884197829,0.3168103448,0.4838709677,0.4700854701,,,,FALSE
"University of Spa & Cosmetology Arts","IL","GL",,150,,21500,18600,5481,0.5064516129,0.41,,,,,,FALSE
"VanderCook College of Music","IL","GL",0.931,78,37568,,,27000,0.625,,,,0.5909,0.625,0.8056,FALSE
"Waubonsee Community College","IL","GL",,6752,9465,32500,28700,4500,0.4423503326,0.3055555556,0.5,0.5725806452,,,,FALSE
"Resurrection University","IL","GL",,734,,71100,65300,25000,0.7979452055,0.7939393939,,,,,,FALSE
"Western Illinois University","IL","GL",0.5878,6754,25686,43200,35100,18661,0.5898019975,0.41438179,0.6298701299,0.7274143302,0.4847,0.5474,0.6669,FALSE
"Wheaton College","IL","GL",0.8265,2364,47644,48400,36200,20100,0.8789473684,0.8733333333,0.8760330579,0.8831521739,0.8785,0.9035,0.9272,FALSE
"William Rainey Harper College","IL","GL",,10791,12504,37300,31000,6250,0.4697277529,0.362627197,0.5269804822,0.5992141454,,,,FALSE
"Ancilla College","IN","GL",0.6921,369,25730,30700,27800,7500,0.3661087866,0.2803030303,0.3851351351,0.6666666667,,,,FALSE
"Anderson University","IN","GL",0.6502,1392,42555,37200,32000,19500,0.6376221498,0.4814814815,0.6638297872,0.7258064516,0.5894,0.56,0.6905,FALSE
"Ball State University","IN","GL",0.6478,15529,23783,41100,34000,17500,0.6458934663,0.5546434069,0.6275471698,0.7208071452,0.6213,0.6279,0.7816,FALSE
"Bethel University","IN","GL",0.9233,1244,39450,37800,33400,19500,0.6261373036,0.4645030426,0.6916299559,0.8167938931,0.6721,0.655,0.75,FALSE
"Butler University","IN","GL",0.6783,4553,56406,56600,45200,23250,0.8453683443,0.7105263158,0.8250652742,0.8872180451,0.8065,0.7232,0.89,FALSE
"Calumet College of Saint Joseph","IN","GL",,519,22470,42000,34900,14800,0.352484472,0.2795389049,0.3812154696,0.525862069,0.2548,0.2934,0.5306,FALSE
"Christian Theological Seminary","IN","GL",,,,,,,,,,,,,,FALSE
"College of Court Reporting Inc","IN","GL",,142,35682,31100,27500,11936,0.418699187,0.3203125,0.4415584416,0.6829268293,,,,FALSE
"Concordia Theological Seminary","IN","GL",,,,,,,,,,,,,,FALSE
"Tricoci University of Beauty Culture-Highland","IN","GL",,203,,17400,15600,7307,0.3359375,0.2516129032,0.3768115942,0.65625,,,,FALSE
"DePauw University","IN","GL",0.626,2141,62567,54000,40400,23000,0.8177496038,0.7064220183,0.765,0.8881987578,0.8322,0.834,0.903,FALSE
"Don Roberts School of Hair Design","IN","GL",,11,,15800,16700,6333,0.5365853659,0.4655172414,,,,,,FALSE
"Don Roberts Beauty School","IN","GL",,17,,,,7755,,,,,,,,FALSE
"Earlham College","IN","GL",0.6522,1025,58618,35000,25100,19000,0.7838541667,0.688172043,0.7933884298,0.8294117647,0.6583,0.6949,0.8427,FALSE
"University of Evansville","IN","GL",0.6948,2018,48967,41800,37800,20000,0.7607305936,0.608,0.765625,0.8394793926,0.7272,0.6874,0.8488,FALSE
"Franklin College","IN","GL",0.7544,925,43230,44100,35500,23000,0.7106690778,0.5373134328,0.74,0.7899543379,0.6125,0.6326,0.758,FALSE
"Goshen College","IN","GL",0.6603,825,44481,37700,32500,14500,0.8198614319,0.7373737374,0.8033707865,0.891025641,0.7041,0.6907,0.7525,FALSE
"Grace College and Theological Seminary","IN","GL",0.8179,1353,33677,34900,30800,16772,0.7978227061,0.7074829932,0.8082191781,0.8480392157,0.5929,0.6463,0.8166,FALSE
"Hanover College","IN","GL",0.7934,1099,50450,46400,32600,19500,0.7119815668,0.5542168675,0.7245508982,0.7717391304,0.7129,0.6933,0.7665,FALSE
"J Michael Harrold Beauty Academy","IN","GL",,64,,,15800,8108,0.3269230769,0.2173913043,,,,,,FALSE
"Holy Cross College","IN","GL",0.8827,498,43289,39900,31400,12000,0.5884476534,0.4675324675,0.6052631579,0.6532258065,0.3966,0.3271,0.4275,FALSE
"PJ's College of Cosmetology-Clarksville","IN","GL",,102,,14800,17800,9500,0.2433862434,0.1315789474,0.3888888889,,,,,FALSE
"Huntington University","IN","GL",0.8319,981,36938,36200,31500,23000,0.7635726795,0.7142857143,0.75,0.8212290503,0.6059,0.6686,0.8116,FALSE
"Ivy Tech Community College","IN","GL",,59821,11812,30100,26700,6164,0.2593336648,0.1854366934,0.3842557171,0.4916573971,,,,FALSE
"Purdue University Fort Wayne","IN","GL",0.9661,7270,18073,36500,30800,12019,0.5301828775,0.3983083429,0.592506938,0.677259887,0.3481,0.2897,0.5646,FALSE
"Indiana University-Purdue University-Indianapolis","IN","GL",0.8112,20651,20704,42500,36900,14287,0.5456813489,0.4545254833,0.5729376258,0.6447028424,0.4628,0.4975,0.7335,FALSE
"University of Indianapolis","IN","GL",0.6891,4487,41632,40600,35800,18500,0.5150871228,0.3440082645,0.5614266843,0.7229299363,0.5832,0.5693,0.7457,FALSE
"Indiana Institute of Technology","IN","GL",0.6318,1524,39903,42700,34600,9500,0.3182978723,0.2092378753,0.4496510469,0.6106442577,0.3421,0.347,0.6172,FALSE
"University of Southern Indiana","IN","GL",0.9458,7369,18952,37000,30900,13250,0.5920627596,0.4509960159,0.6222910217,0.6796448087,0.4356,0.4148,0.7121,FALSE
"Indiana State University","IN","GL",0.8991,10348,21619,39000,31800,12500,0.4980228928,0.3618899273,0.5520894644,0.6423728814,0.3978,0.4108,0.6478,FALSE
"Indiana University-Kokomo","IN","GL",0.7999,2730,15444,36200,32300,11000,0.5009721322,0.3789808917,0.5719557196,0.6032171582,0.3788,0.3682,0.6025,FALSE
"Indiana University-South Bend","IN","GL",0.819,4603,16231,34900,29700,11532,0.4920634921,0.3912760417,0.5552805281,0.6116207951,0.3059,0.3146,0.645,FALSE
"Indiana University-Bloomington","IN","GL",0.7691,32991,24326,47700,39900,17000,0.7158610739,0.5938009788,0.6833866951,0.7783494953,0.7765,0.7868,0.9112,FALSE
"Indiana University-Northwest","IN","GL",0.7961,3380,13960,36300,29100,12500,0.358699412,0.2616464582,0.4377457405,0.5222816399,0.3067,0.2855,0.6725,FALSE
"Indiana University-Southeast","IN","GL",0.8508,4555,15838,37900,31200,11584,0.4901561439,0.3869346734,0.5405921681,0.590070922,0.3203,0.3372,0.5888,FALSE
"Indiana University-East","IN","GL",0.6488,3028,15674,31500,30200,12970,0.4386865059,0.358778626,0.4857530529,0.5694915254,0.3804,0.3265,0.6542,FALSE
"International Business College-Fort Wayne","IN","GL",0.6627,186,22956,27300,25000,10774,0.6676557864,0.6193548387,0.7094240838,0.7073170732,,,,FALSE
"International Business College-Indianapolis","IN","GL",0.772,327,21858,27300,25000,10774,0.6676557864,0.6193548387,0.7094240838,0.7073170732,,,,FALSE
"Taylor Institute of Cosmetology","IN","GL",,38,,,,,,,,,,,,FALSE
"Tricoci University of Beauty Culture-Lafayette","IN","GL",,104,,,,6641,0.4540540541,0.3727272727,,,,,,FALSE
"Empire Beauty School-Indianapolis","IN","GL",,205,,17100,15900,7627,0.2741273101,0.2199170124,0.3806818182,0.5466666667,,,,FALSE
"Lincoln College of Technology-Indianapolis","IN","GL",,961,,37100,29200,10375,0.407195572,0.3033531808,0.5053831539,0.6784615385,,,,FALSE
"Manchester University","IN","GL",0.5932,1186,43805,40700,32700,16750,0.696350365,0.5460122699,0.7148288973,0.7722007722,0.553,0.5548,0.6209,FALSE
"Marian University","IN","GL",0.6138,2226,46512,43300,38600,19500,0.5959322034,0.5208711434,0.5833333333,0.7213541667,0.546,0.566,0.7758,FALSE
"Indiana Wesleyan University-Marion","IN","GL",0.6829,2647,37595,49900,43400,16667,0.5428111854,0.3934065934,0.5631672598,0.7141414141,0.6453,0.6536,0.7861,FALSE
"Martin University","IN","GL",,244,23032,24700,18200,17730,0.1455399061,0.1409921671,,,0.0543,0.0781,0.5814,FALSE
"Anabaptist Mennonite Biblical Seminary","IN","GL",,,,,,,,,,,,,,FALSE
"Mid-America College of Funeral Service","IN","GL",,122,21906,27100,30200,10589,0.3389830508,,0.4285714286,,0.9259,,0.9167,FALSE
"West Michigan College of Barbering and Beauty","MI","GL",,43,,13600,12300,9500,,,,,,,,FALSE
"University of Notre Dame","IN","GL",0.1771,8568,69395,78400,61800,19000,0.9330334833,0.8896103896,0.9218009479,0.9410526316,0.961,0.9599,0.9805,FALSE
"Oakland City University","IN","GL",0.497,563,36016,33600,29300,12500,0.5930232558,0.4311926606,0.6506024096,0.7878787879,0.5538,0.4691,0.6994,FALSE
"PJ's College of Cosmetology-Richmond","IN","GL",,38,,,,7042,,,,,,,,FALSE
"Ravenscroft Beauty College","IN","GL",,142,,18500,15900,6333,0.1933085502,0.1627906977,,,,,,FALSE
"Rogers Academy of Hair Design","IN","GL",,82,,16800,16000,7917,0.4239130435,0.3703703704,,,,,,FALSE
"Rose-Hulman Institute of Technology","IN","GL",0.682,2073,65031,80900,70700,24834,0.9328467153,0.8571428571,0.9313304721,0.9493333333,0.8112,0.8037,0.9145,FALSE
"University of Saint Francis-Fort Wayne","IN","GL",0.9342,1774,37939,40400,35100,18180,0.5794701987,0.4523227384,0.5820224719,0.7231638418,0.5625,0.5571,0.7322,FALSE
"Saint Mary-of-the-Woods College","IN","GL",0.721,707,42462,32300,28000,12260,0.5007680492,0.4571428571,0.4866920152,0.6481481481,0.5724,0.4751,0.6967,FALSE
"Saint Mary's College","IN","GL",0.819,1439,54787,46200,43000,25000,0.8443708609,0.8148148148,0.8253012048,0.8599439776,0.7837,0.7812,0.8438,FALSE
"Saint Meinrad School of Theology","IN","GL",,,,,,,,,,,,,,FALSE
"Saint Elizabeth School of Nursing","IN","GL",1,126,30152,46300,50400,27000,0.625,0.5595238095,,,,,,FALSE
"Taylor University","IN","GL",0.7764,1888,45229,38000,29800,15750,0.8081632653,0.712,0.8217054264,0.8323863636,0.8058,0.7724,0.8772,FALSE
"Trine University","IN","GL",0.734,2059,47620,43300,37000,17750,0.6286919831,0.432038835,0.6666666667,0.8059299191,0.6007,0.5669,0.7987,FALSE
"Valparaiso University","IN","GL",0.8931,3170,51215,48500,39400,21500,0.7690437601,0.6363636364,0.7790973872,0.8330170778,0.7158,0.6689,0.8124,FALSE
"Vincennes Beauty College","IN","GL",,27,,17200,,,0.3921568627,,,,,,,FALSE
"Vincennes University","IN","GL",,6282,17792,32800,27500,9500,0.4123348018,0.2858108108,0.5014052839,0.6431623932,0.2517,0.2481,0.5361,FALSE
"Wabash College","IN","GL",0.6497,881,54600,56300,38700,25000,0.7008310249,0.5774647887,0.7946428571,0.691011236,0.7394,0.7286,0.8655,FALSE
"Allen College","IA","Plains",,342,,50800,50000,14923,0.8383838384,0.7941176471,0.8157894737,0.8869565217,,,,FALSE
"Briar Cliff University","IA","Plains",,910,42423,41900,35200,13750,0.6558641975,0.4824120603,0.7276119403,0.7403314917,0.4356,0.4716,0.606,FALSE
"Buena Vista University","IA","Plains",0.5713,1546,45332,40000,34500,17146,0.5823199252,0.4542586751,0.6424242424,0.7817679558,0.5708,0.5186,0.6762,FALSE
"Capri College-Dubuque","IA","Plains",,142,,22000,20200,5746,0.625,0.5161290323,,,,,,FALSE
"Capri College-Cedar Rapids","IA","Plains",,167,,21200,22400,6632,0.4923664122,0.3285714286,0.6438356164,0.7346938776,,,,FALSE
"Central College","IA","Plains",0.6999,1076,50547,44700,36600,23313,0.7709923664,0.5689655172,0.7795031056,0.8304597701,0.7008,0.6647,0.7969,FALSE
"Clarke University","IA","Plains",0.8248,731,44891,41300,37200,21500,0.748549323,0.6083916084,0.7867298578,0.8220858896,0.6321,0.5901,0.7313,FALSE
"Coe College","IA","Plains",0.6693,1369,55101,46200,37600,22625,0.8101071975,0.7190082645,0.8326180258,0.8294314381,0.674,0.6716,0.7778,FALSE
"Cornell College","IA","Plains",0.6102,1022,55817,43000,32600,22130,0.7101167315,0.6324786325,0.6984126984,0.7644230769,0.7328,0.6799,0.8143,FALSE
"Iowa School of Beauty-Marshalltown","IA","Plains",,4,,15700,,,0.3043478261,,,,,,,FALSE
"Des Moines Area Community College","IA","Plains",,11901,13545,34300,29300,6500,0.4008017741,0.2626278041,0.5398700532,0.6442577031,,,,FALSE
"Divine Word College","IA","Plains",1,56,19630,,,,,,,,0.5806,0.6316,,FALSE
"Dordt University","IA","Plains",0.7316,1346,43391,41700,35900,16432,0.9128440367,0.8717948718,0.9278688525,0.9077490775,0.6866,0.6907,0.7857,FALSE
"Drake University","IA","Plains",0.6766,2952,53507,58300,46800,19197,0.8358433735,0.6991150442,0.8445595855,0.874301676,0.7871,0.7555,0.8805,FALSE
"University of Dubuque","IA","Plains",0.7303,1965,40660,39200,34100,15673,0.5985663082,0.5207823961,0.556675063,0.7548387097,0.4313,0.4491,0.6296,FALSE
"Ellsworth Community College","IA","Plains",,645,15699,33400,27600,6500,0.400250941,0.2544987147,0.5238095238,0.5789473684,,,,FALSE
"Emmaus Bible College","IA","Plains",0.9492,233,27602,34400,26700,11952,0.8349514563,,,,0.7222,0.5161,0.68,FALSE
"Eastern Iowa Community College District","IA","Plains",,2960,14402,29400,26200,5938,0.3909653133,0.2774750227,0.5147058824,0.6398390342,,,,FALSE
"Faith Baptist Bible College and Theological Seminary","IA","Plains",0.6229,261,27873,35400,30300,8009,0.8675496689,0.6923076923,,,0.5232,0.4746,0.75,FALSE
"Faust Institute of Cosmetology-Storm Lake","IA","Plains",,21,,17000,17300,10000,0.4761904762,0.35,,,,,,FALSE
"Graceland University-Lamoni","IA","Plains",0.5806,1125,41130,36200,33400,15000,0.5878995434,0.4892966361,0.6191950464,0.685840708,0.5011,0.4816,0.6154,FALSE
"Grand View University","IA","Plains",0.9198,1731,37623,43200,37600,17750,0.6125,0.4624277457,0.6361829026,0.7703349282,0.5023,0.4858,0.6884,FALSE
"Grinnell College","IA","Plains",0.2438,1683,65814,49100,32800,15000,0.885786802,,,0.8941798942,0.8554,0.8662,0.9395,FALSE
"Purdue University Global-Mason City","IA","Plains",,107,,33900,24600,12500,0.2559600944,0.2047353072,0.3502119642,0.5343121609,0.3793,,,FALSE
"Purdue University Global-Cedar Rapids","IA","Plains",,360,,33900,24600,12500,0.2559600944,0.2047353072,0.3502119642,0.5343121609,0.3636,,,FALSE
"Hamilton Technical College","IA","Plains",,134,23677,34000,24500,9500,0.393258427,0.316872428,0.5324675325,0.6111111111,0.7769,,,FALSE
"Hawkeye Community College","IA","Plains",,3217,15049,36100,31200,8368,0.4526094079,0.3027052239,0.5724533716,0.662585034,,,,FALSE
"American Hair Academy","IA","Plains",,23,,,,11814,0.5,,,,,,,FALSE
"Indian Hills Community College","IA","Plains",,2094,12779,32100,27700,8000,0.3968298109,0.2710144928,0.5200356189,0.699751861,,,,FALSE
"Iowa Central Community College","IA","Plains",,3270,13701,36500,29600,8036,0.3917137476,0.2622277024,0.537808642,0.633911368,,,,FALSE
"Iowa Lakes Community College","IA","Plains",,1121,15342,34000,30100,7317,0.543601359,0.4097616345,0.6461295419,0.753968254,,,,FALSE
"UnityPoint Health-Des Moines School of Radiologic Technology","IA","Plains",,16,,,,,,,,,,,,FALSE
"American College of Hairstyling-Des Moines","IA","Plains",,22,,,,14000,,,,,,,,FALSE
"Iowa School of Beauty-Des Moines","IA","Plains",,47,,21800,15500,6333,0.3430962343,0.261627907,,,,,,FALSE
"Iowa State University","IA","Plains",0.906,29248,20476,50700,41200,18250,0.7589904679,0.6342431762,0.7749683944,0.8085368863,0.7409,0.7425,0.8748,FALSE
"Iowa Wesleyan University","IA","Plains",0.5802,594,39393,39500,31900,12000,0.5685884692,0.4378109453,0.5965909091,0.7380952381,0.2445,0.2148,0.6354,FALSE
"Iowa Western Community College","IA","Plains",,3799,16466,33100,27900,7725,0.4347623486,0.3087767167,0.5250909091,0.647632312,,,,FALSE
"University of Iowa","IA","Plains",0.8267,23410,22607,51900,42200,16173,0.709922646,0.5838967425,0.7087254063,0.768751769,0.7338,0.7335,0.8618,FALSE
"Kirkwood Community College","IA","Plains",,8772,14229,35800,29500,8250,0.4414297157,0.2986486486,0.5682656827,0.6392993979,,,,FALSE
"La James International College-Cedar Falls","IA","Plains",,17,,22600,20600,9500,0.3426573427,0.3058823529,,,,,,FALSE
"La James International College-Johnston","IA","Plains",,56,,25200,21700,9500,0.3487179487,0.2741935484,,,,,,FALSE
"La James College of Hairstyling and Cosmetology","IA","Plains",,49,,20800,19300,6860,0.4255319149,0.3076923077,,,,,,FALSE
"La James International College-Ft Dodge","IA","Plains",,27,,18300,18800,9500,0.3359375,,0.4285714286,,,,,FALSE
"Loras College","IA","Plains",0.9268,1361,43465,44600,37300,20500,0.8292349727,0.6483516484,0.8539325843,0.8556149733,0.6785,0.7075,0.7846,FALSE
"Luther College","IA","Plains",0.6257,1974,54045,47400,36800,25250,0.8259557344,0.7272727273,0.8056426332,0.8592057762,0.797,0.7863,0.834,FALSE
"Maharishi University of Management","IA","Plains",1,255,39730,21400,17400,18750,0.5614754098,0.510989011,,,0.6727,0.5,0.6486,FALSE
"Marshalltown Community College","IA","Plains",,927,12491,31500,25700,5630,0.4034451496,0.2787682334,0.5338753388,0.6495726496,,,,FALSE
"Mercy College of Health Sciences","IA","Plains",0.9505,724,26831,47000,44300,14000,0.676096181,0.6228373702,0.652892562,0.7954545455,0.3816,,0.5714,FALSE
"Morningside College","IA","Plains",0.5758,1240,43814,43700,37400,17125,0.7377483444,0.6573033708,0.7532467532,0.7732342007,0.5354,0.5496,0.7046,FALSE
"Mount Mercy University","IA","Plains",0.6281,1488,44311,45300,42800,16793,0.7284090909,0.5655430712,0.7922848665,0.8079710145,0.6461,0.6268,0.7085,FALSE
"Ashford University","CA","West",,28289,23215,41200,28500,8344,0.2463376352,0.1899946226,0.3529707113,0.5306252658,0.0769,0.0957,0.2454,FALSE
"North Iowa Area Community College","IA","Plains",,1766,12788,33900,28500,5500,0.4804407713,0.3398392652,0.5973645681,0.6436781609,,,,FALSE
"University of Northern Iowa","IA","Plains",0.8074,9391,21177,44600,38100,15541,0.7279649724,0.583840139,0.7547266224,0.7808857809,0.6656,0.6764,0.8251,FALSE
"Northwestern College","IA","Plains",0.7143,1006,43520,38400,36000,17375,0.87135506,0.7731958763,0.9,0.8805309735,0.6821,0.6569,0.7598,FALSE
"Northeast Iowa Community College","IA","Plains",,2086,13455,33700,28900,7720,0.4806899138,0.3152251608,0.6437029064,0.7168141593,,,,FALSE
"Northwest Iowa Community College","IA","Plains",,754,16190,43100,38000,7000,0.6972477064,0.5541125541,0.7294520548,0.8778625954,,,,FALSE
"Des Moines University-Osteopathic Medical Center","IA","Plains",,,,152000,,,,,,,,,,FALSE
"Iowa School of Beauty-Ottumwa","IA","Plains",,28,,14500,16500,10000,0.2619047619,0.2280701754,,,,,,FALSE
"Palmer College of Chiropractic","IA","Plains",,24,31935,41200,34700,9701,0.4036697248,0.3513513514,,,,,,FALSE
"PCI Academy-Ames","IA","Plains",,141,,25900,22000,6333,0.4947368421,0.3472222222,0.5862068966,0.7407407407,,,,FALSE
"Saint Ambrose University","IA","Plains",0.6269,2289,44319,47300,38800,20500,0.6804564907,0.5028571429,0.6697892272,0.7872,0.6521,0.6371,0.7918,FALSE
"St Luke's College","IA","Plains",1,271,27705,44400,45300,12000,0.8,0.625,,,,,,FALSE
"La James International College-Davenport","IA","Plains",,35,,20100,17900,7917,0.3246753247,0.2765957447,,,,,,FALSE
"La James International College-Iowa City","IA","Plains",,38,,26900,20200,9500,0.3942307692,0.3265306122,,,,,,FALSE
"Simpson College","IA","Plains",0.8423,1377,50095,47500,37800,21500,0.7568359375,0.6291079812,0.7553956835,0.8274111675,0.6901,0.6569,0.7873,FALSE
"Southeastern Community College","IA","Plains",,1608,11317,28500,25700,6354,0.4211212516,0.3216494845,0.5640394089,0.664556962,,,,FALSE
"Southwestern Community College","IA","Plains",,828,13698,31700,28500,7242,0.4598930481,0.3147751606,0.5895953757,0.6475409836,,,,FALSE
"Capri College-Davenport","IA","Plains",,132,,18800,19400,7291,0.4590163934,0.3758865248,0.5428571429,0.6363636364,,,,FALSE
"Iowa School of Beauty-Sioux City","IA","Plains",,44,,17100,,10067,0.3733333333,0.2777777778,,,,,,FALSE
"E Q School of Hair Design","IA","Plains",,58,,15800,17700,6280,0.3896103896,0.3265306122,,,,,,FALSE
"Upper Iowa University","IA","Plains",0.5047,3524,44206,42900,38400,17504,0.4993270525,0.3758788534,0.5772659733,0.7365384615,0.4233,0.4369,0.6355,FALSE
"Waldorf University","IA","Plains",0.7544,2554,33399,37800,32200,12000,0.5451559934,0.3731343284,0.5691056911,0.7222222222,0.2884,0.2587,0.5305,FALSE
"Wartburg College","IA","Plains",0.7571,1468,51820,45400,39800,21500,0.7906976744,0.6419753086,0.7861842105,0.8632478632,0.6643,0.6954,0.7901,FALSE
"Wartburg Theological Seminary","IA","Plains",,,,,,,,,,,,,,FALSE
"The Salon Professional Academy-Cedar Falls","IA","Plains",,50,,19100,,9500,0.265625,,,,,,,FALSE
"Western Iowa Tech Community College","IA","Plains",,3005,12489,31500,26900,6653,0.4585300067,0.3724053724,0.5278350515,0.6648044693,,,,FALSE
"William Penn University","IA","Plains",0.5524,1127,36487,42100,32900,14000,0.5106732348,0.412962963,0.5694444444,0.6219512195,0.3504,0.3056,0.5294,FALSE
"Allen County Community College","KS","Plains",,1432,11832,32200,25900,5500,0.3696721311,0.2710280374,0.4646226415,0.5194805195,,,,FALSE
"Baker University","KS","Plains",0.8765,1436,44244,51300,43600,19500,0.6510736196,0.5386996904,0.6318681319,0.7586206897,0.5785,0.5947,0.749,FALSE
"Barton County Community College","KS","Plains",,2178,14503,31300,26200,5750,0.4161490683,0.3278688525,0.4805555556,0.5847457627,,,,FALSE
"Benedictine College","KS","Plains",0.9284,1942,43240,40100,32700,19000,0.77125,0.6532258065,0.75,0.8197115385,0.6121,0.6618,0.7966,FALSE
"Bethany College","KS","Plains",0.6776,781,42884,40200,30400,9500,0.6666666667,0.5277777778,0.6944444444,0.7481481481,0.3879,0.4277,0.6214,FALSE
"Bethel College-North Newton","KS","Plains",0.441,442,41204,40800,33200,12500,0.6943521595,0.5810810811,0.6639344262,0.8095238095,0.4669,0.5936,0.583,FALSE
"Butler Community College","KS","Plains",,6790,12281,32800,27100,6500,0.3894195445,0.3006223073,0.46884273,0.5108359133,,,,FALSE
"Central Christian College of Kansas","KS","Plains",,669,26633,31700,27000,14746,0.4336633663,0.2633744856,0.5872093023,0.6,0.2661,0.302,0.4518,FALSE
"Cloud County Community College","KS","Plains",,1028,11132,30700,26100,5500,0.451787649,0.3239130435,0.5457227139,0.6693548387,,,,FALSE
"Coffeyville Community College","KS","Plains",,1200,9661,30400,22700,5500,0.3080495356,0.2148997135,0.3913043478,0.4777777778,,,,FALSE
"Colby Community College","KS","Plains",,886,14460,32500,28200,6700,0.5744680851,0.5205992509,0.6404958678,0.5588235294,,,,FALSE
"Cowley County Community College","KS","Plains",,1958,13157,32400,26500,5500,0.3382970599,0.2423273657,0.4385026738,0.5830618893,,,,FALSE
"Dodge City Community College","KS","Plains",,965,9800,34000,28700,5500,0.4484848485,0.3971631206,0.4206349206,0.619047619,,,,FALSE
"Donnelly College","KS","Plains",,304,19425,25400,22500,6000,0.2368421053,0.1859504132,,,0.1292,,0.5682,FALSE
"Emporia State University","KS","Plains",0.8532,3447,18358,37100,31500,14000,0.5902048976,0.4717514124,0.6222826087,0.6983842011,0.449,0.4424,0.7403,FALSE
"Flint Hills Technical College","KS","Plains",,395,18884,32700,29100,8750,0.472972973,0.337704918,0.614379085,0.8,,,,FALSE
"Fort Hays State University","KS","Plains",0.9229,12456,17044,38200,34000,13519,0.5928656361,0.4916963227,0.6436298077,0.6935672515,0.4368,0.4195,0.7197,FALSE
"Barclay College","KS","Plains",0.4578,213,31220,33900,25200,15625,0.564516129,0.4230769231,,,0.4744,0.5057,0.6349,FALSE
