INSTNM,STABBR,REGION,ADM_RATE,UGDS,COSTT4_A,MD_EARN_WNE_P10,MD_EARN_WNE_P6,DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_4_POOLED_SUPP,RET_FT4_POOLED_SUPP,isNCF
University of Alaska Southeast,AK,West,0.7105,1214,19176,36000,31500,9151.5,0.576864536,0.505154639,0.589041096,0.700680272,0.2055,0.2376,0.6286,FALSE
Alaska Pacific University,AK,West,0.86,247,32489,40200,33200,12900,0.570135747,0.341463415,0.682926829,0.736842105,0.5,0.5823,0.6447,FALSE
AVTEC-Alaska's Institute of Technology,AK,West,,967,,35300,37400,5256.5,0.686440678,0.5,,,,,,FALSE
Charter College,WA,West,,2640,35332,39800,27700,13208,0.304767906,0.254443128,0.393177738,0.568265683,0.4729,0.2459,,FALSE
Alaska Career College,AK,West,,430,,31200,25300,7199,0.445723684,0.360576923,0.614814815,0.666666667,,,,FALSE
Empire Beauty School-Tucson,AZ,SW,,118,,20300,16200,8147,0.287991498,0.236173393,0.373684211,0.512195122,,,,FALSE
Thunderbird School of Global Management,AZ,SW,,,,118000,87400,14000,0.584855883,0.512442666,0.603105289,0.670528603,,,,FALSE
American Institute of Trucking,AZ,SW,,244,,33400,29300,5969,0.41925624,0.392729865,0.474437628,0.563380282,,,,FALSE
Carrington College-Phoenix North,AZ,SW,0.7062,519,,25400,25200,9196,0.329336188,0.278544174,0.428720083,0.586092715,,,,FALSE
Carrington College-Mesa,AZ,SW,0.553,500,,25400,25200,9196,0.329336188,0.278544174,0.428720083,0.586092715,,,,FALSE
Carrington College-Tucson,AZ,SW,0.9451,269,,25400,25200,9196,0.329336188,0.278544174,0.428720083,0.586092715,,,,FALSE
CollegeAmerica-Flagstaff,AZ,SW,,78,31920,23900,19500,16676.5,0.11691023,0.095597484,,,0.296,,,FALSE
Arizona Academy of Beauty-East,AZ,SW,,54,,15300,,4588,0.253521127,0.172413793,,,,,,FALSE
Platt College-Arizona Automotive Institute Arizona,AZ,SW,,785,,35300,22400,9500,0.341377577,0.31314433,0.399449036,0.648648649,,,,FALSE
Brookline College-Phoenix,AZ,SW,,1056,,21900,18300,9500,0.20920398,0.180958013,0.335740072,0.511904762,0.3419,0.2,0.4444,FALSE
Arizona State University-Tempe,AZ,SW,0.8415,42181,24353,47700,38300,14000,0.584855883,0.512442666,0.603105289,0.670528603,0.652,0.673,0.8623,FALSE
Arizona Western College,AZ,SW,,6879,14774,27700,22100,3500,0.357045144,0.291666667,0.461538462,0.536231884,,,,FALSE
University of Arizona,AZ,SW,0.8358,33428,26080,47300,36900,13000,0.656277729,0.579041916,0.654046028,0.744802146,0.6177,0.6295,0.8179,FALSE
Southwest University of Visual Arts-Tucson,AZ,SW,,125,31146,30200,25100,27875,0.338289963,0.25748503,0.387096774,0.6,0.8797,0.8355,0.8542,FALSE
Central Arizona College,AZ,SW,,4822,10643,26500,24600,5500,0.293554884,0.227491961,0.383211679,0.463917526,,,,FALSE
Brown Mackie College-Tucson,AZ,SW,,100,,29400,25800,16475,0.225464932,0.183039833,0.324473778,0.525686977,0.2646,0.3172,,FALSE
Charles of Italy Beauty College,AZ,SW,,51,,16100,16000,7389,0.441860465,0.425531915,,,,,,FALSE
Cochise County Community College District,AZ,SW,,3528,10987,28500,23200,4500,0.41218638,0.338278932,0.477124183,0.632352941,,,,FALSE
Empire Beauty School-Flagstaff,AZ,SW,,37,,18500,16300,9332,0.29787234,0.225416036,0.424242424,0.580246914,,,,FALSE
Empire Beauty School-Chandler,AZ,SW,,66,,18500,16300,9332,0.29787234,0.225416036,0.424242424,0.580246914,,,,FALSE
Cortiva Institute-Tucson,AZ,SW,,79,,22100,21400,6333,0.447115385,0.401408451,0.514563107,,,,,FALSE
Avalon School of Cosmetology-Mesa,AZ,SW,,298,,19000,18500,6237,0.339370829,0.286585366,0.378181818,0.542372881,,,,FALSE
Eastern Arizona College,AZ,SW,,3729,13128,29200,24700,,,,,,,,,FALSE
Embry-Riddle Aeronautical University-Prescott,AZ,SW,0.7652,2598,49912,66200,47900,12250,0.644439421,0.521256932,0.656586022,0.782939832,0.6106,0.6076,0.8557,FALSE
School of Architecture at Taliesin,AZ,SW,,,,,,,,,,,,,,FALSE
Glendale Community College,AZ,SW,,14609,11472,34500,28600,3500,0.351948052,0.292821782,0.448361163,0.516898608,,,,FALSE
Grand Canyon University,AZ,SW,0.6692,48666,31051,52700,28400,12000,0.351982503,0.242339998,0.435547139,0.657199309,0.4191,0.3248,0.657,FALSE
GateWay Community College,AZ,SW,,4365,12967,34100,32800,5556.5,0.320185615,0.25120773,0.44473342,0.584269663,,,,FALSE
Mesa Community College,AZ,SW,,15759,12302,36000,29600,3750,0.339439882,0.270204479,0.446728188,0.518907563,,,,FALSE
Mohave Community College,AZ,SW,,2875,12394,27500,23200,7000,0.365724382,0.292781833,0.541884817,0.638554217,,,,FALSE
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,SW,,1020,,38700,31500,12722,0.410058855,0.326051925,0.481264637,0.649415693,,,,FALSE
Dine College,AZ,SW,,1363,11187,21000,15800,,,,,,0.2242,,,FALSE
Northern Arizona University,AZ,SW,0.8085,26974,26314,40100,34400,12500,0.557791486,0.470767667,0.561691385,0.676238335,0.5422,0.5413,0.7569,FALSE
Northland Pioneer College,AZ,SW,,1453,13336,25200,19700,,,,,,,,,FALSE
Ottawa University-Phoenix,AZ,SW,,329,,41500,36500,12584,0.465213747,0.353554502,0.505995204,0.633802817,,,,FALSE
Phoenix College,AZ,SW,,9147,11788,31900,26300,6000,0.245826454,0.202537707,0.378773126,0.425101215,,,,FALSE
Cortiva Institute-Scottsdale,AZ,SW,,82,,21900,23400,7600,0.520833333,0.5,,,,,,FALSE
Pima Community College,AZ,SW,,20165,8821,30900,25800,3500,0.357849518,0.305523368,0.450969529,0.505007153,,,,FALSE
Pima Medical Institute-Tucson,AZ,SW,,2300,,28800,26700,8445,0.462620002,0.394625982,0.5658867,0.681135225,0.7319,0.8421,0.4665,FALSE
Pima Medical Institute-Albuquerque,NM,SW,,820,,28800,26700,8445,0.462620002,0.394625982,0.5658867,0.681135225,,,,FALSE
Prescott College,AZ,SW,0.9526,350,38882,33200,25000,14962,0.525390625,0.447272727,0.562962963,0.68627451,0.3684,0.3734,0.7195,FALSE
Refrigeration School Inc,AZ,SW,,732,,41500,35400,9500,0.366213152,0.294915254,0.484848485,0.606557377,,,,FALSE
Rio Salado College,AZ,SW,,6086,10784,39500,31600,3396,0.228799439,0.174793789,0.360077519,0.412780656,,,,FALSE
Roberto-Venn School of Luthiery,AZ,SW,,24,,24000,25700,7307,0.576923077,0.509803922,,,,,,FALSE
Hair Academy of Safford,AZ,SW,,38,,10800,,,0.3125,,,,,,,FALSE
Scottsdale Community College,AZ,SW,,6025,11892,35600,31300,4261,0.388720027,0.31015143,0.484848485,0.554404145,,,,FALSE
South Mountain Community College,AZ,SW,,3167,11292,30200,25800,4500,0.215753425,0.183823529,0.31595092,0.378787879,,,,FALSE
Arizona Christian University,AZ,SW,0.6444,696,37675,32200,32200,9500,0.555147059,0.397849462,0.595238095,0.673684211,0.4211,0.483,0.6407,FALSE
Universal Technical Institute of Arizona Inc,AZ,SW,,1860,,45200,35000,12813,0.481176267,0.388631646,0.533640023,0.703413542,,,,FALSE
Western International University,AZ,SW,,597,11330,35000,45800,10035.5,0.389240506,0.303969022,0.456296296,0.617021277,0.0978,0.0656,0.2131,FALSE
Empire Beauty School-NW Phoenix,AZ,SW,,109,,18200,15700,8915,0.277136259,0.24328594,0.35978836,0.409090909,,,,FALSE
Yavapai College,AZ,SW,,4682,11524,28800,25400,6196,0.366007905,0.307095344,0.496350365,0.561797753,,,,FALSE
University of Arkansas at Little Rock,AR,SE,0.7463,6677,21377,34900,31200,12375,0.577270673,0.540368006,0.597807757,0.705372617,0.3131,0.2965,0.6891,FALSE
University of Arkansas for Medical Sciences,AR,SE,,633,,61000,57000,12500,0.807407407,0.758064516,0.841201717,0.863636364,,,,FALSE
Arkansas Baptist College,AR,SE,,593,22512,21800,19300,9500,0.254408061,0.251506024,,,0.1383,0.0859,0.3606,FALSE
Arkansas Beauty School-Little Rock,AR,SE,,129,,14000,,6332,0.31884058,,,,,,,FALSE
Arkansas Beauty College,AR,SE,,27,,,,5916.5,0.418604651,0.333333333,,,,,,FALSE
Lyon College,AR,SE,0.6418,664,36824,38600,30400,12000,0.674329502,0.568807339,0.75308642,0.746478873,0.4504,0.4151,0.639,FALSE
Arkansas College of Barbering and Hair Design,AR,SE,,127,,15300,14600,9500,0.370689655,0.375,,,,,,FALSE
Arthur's Beauty College Inc-Fort Smith,AR,SE,,41,,17300,,7000,0.320754717,,,,,,,FALSE
University of Arkansas,AR,SE,0.6596,22763,22122,44900,37100,14181,0.671230198,0.587058824,0.683937824,0.73729267,0.6288,0.6525,0.8233,FALSE
University of Arkansas at Pine Bluff,AR,SE,0.4669,2510,16264,27200,21200,12250,0.366157329,0.343531469,0.385106383,0.477124183,0.2584,0.2878,0.7055,FALSE
Arkansas State University-Beebe,AR,SE,,2645,13260,29400,24000,4500,0.530321046,0.447368421,0.570446735,0.704545455,,,,FALSE
Arkansas State University-Main Campus,AR,SE,0.6602,8856,20952,32200,27500,12500,0.575686733,0.500174034,0.652477764,0.71574344,0.4642,0.4094,0.739,FALSE
Arkansas Tech University,AR,SE,0.9475,8247,18143,34100,28900,10941,0.564579513,0.457289003,0.650741351,0.726851852,0.3724,0.4811,0.7011,FALSE
University of Arkansas at Monticello,AR,SE,,2589,17690,31500,23900,7054.5,0.445529291,0.372144436,0.593434343,0.658031088,0.2267,0.2642,0.5219,FALSE
Arthur's Beauty College Inc-Jacksonville,AR,SE,,59,,15300,15800,9383,0.471264368,0.460176991,,,,,,FALSE
Baptist Health College Little Rock,AR,SE,0.6875,676,21677,47200,47300,9500,0.701298701,0.64075067,0.748743719,0.809917355,,,,FALSE
Black River Technical College,AR,SE,,1216,12519,26100,22500,6500,0.446983547,0.390909091,0.569395018,0.651162791,,,,FALSE
University of Central Arkansas,AR,SE,0.8995,9034,20702,38300,29600,12000,0.623361823,0.540184453,0.659704091,0.723606168,0.4145,0.4527,0.7249,FALSE
Central Baptist College,AR,SE,0.6755,676,24453,35300,30000,13996.5,0.575342466,0.502890173,0.632075472,0.651162791,0.2549,0.3564,0.6897,FALSE
Cossatot Community College of the University of Arkansas,AR,SE,,955,10186,23100,20600,,,,,,,,,FALSE
Crowley's Ridge College,AR,SE,,192,20416,26000,24000,9500,0.526785714,,0.536585366,,0.2616,,0.6091,FALSE
Crowley's Ridge Technical Institute,AR,SE,,164,9540,19300,16000,,,,,,,,,FALSE
East Arkansas Community College,AR,SE,,565,10806,22700,17900,2000,0.322916667,0.301587302,,,,,,FALSE
Eastern College of Health Vocations-Little Rock,AR,SE,,115,,21700,18000,3731,0.412,0.390749601,0.505263158,,,,,FALSE
Imagine-Paul Mitchell Partner School,AR,SE,,385,,,13000,9833,0.425357873,0.372670808,0.5,0.591836735,,,,FALSE
National Park College,AR,SE,,2140,13301,25100,22100,7142.5,0.368421053,0.338259442,0.474137931,0.607843137,,,,FALSE
University of Arkansas Community College-Batesville,AR,SE,,954,10928,25500,23300,6000,0.472406181,0.408496732,,,,,,FALSE
Harding University,AR,SE,0.7212,4147,28754,40900,33400,19692,0.727702304,0.612676056,0.72952381,0.79245283,0.6522,0.6562,0.8238,FALSE
Henderson State University,AR,SE,0.7968,2829,20913,35700,27000,11000,0.561760841,0.490322581,0.618367347,0.6692607,0.3344,0.3685,0.6233,FALSE
Hendrix College,AR,SE,0.798,1233,58040,39700,29200,21500,0.762032086,0.695652174,0.79338843,0.766304348,0.7178,0.7321,0.8508,FALSE
Hot Springs Beauty College,AR,SE,,38,,,,5500,0.371428571,,,,,,,FALSE
Jefferson Regional Medical Center School of Nursing,AR,SE,,65,,,,11968.5,,,,,,,,FALSE
John Brown University,AR,SE,0.7579,1606,37814,45800,36900,16795,0.746287129,0.641975309,0.797507788,0.782786885,0.6906,0.6193,0.837,FALSE
Career Academy of Hair Design,AR,SE,,169,,20000,14600,6365,0.368421053,0.325,,,,,,FALSE
Academy of Salon and Spa,AR,SE,,58,,,13500,6333,0.396039604,0.352112676,,,,,,FALSE
Arkansas State University Mid-South,AR,SE,,873,14830,22500,18700,,,,,,,,,FALSE
Arkansas Northeastern College,AR,SE,,1002,11124,25700,22100,3000,0.43902439,,,,,,,FALSE
New Tyler Barber College Inc,AR,SE,,50,,15900,,9500,0.396226415,,,,,,,FALSE
North Arkansas College,AR,SE,,1466,9853,25600,23000,5465,0.400289017,0.350775194,,,,,,FALSE
Northwest Technical Institute,AR,SE,,175,7851,29800,31800,,,,,,,,,FALSE
Ouachita Baptist University,AR,SE,0.7094,1513,35685,41200,30600,14607.5,0.686147186,0.5,0.653846154,0.789719626,0.6718,0.6192,0.7968,FALSE
College of the Ouachitas,AR,SE,,642,11662,27500,23400,7000,0.448844885,0.391752577,,,,,,FALSE
Ozarka College,AR,SE,,852,10866,23800,18300,6500,0.355408389,0.310204082,,,,,,FALSE
University of the Ozarks,AR,SE,0.8915,745,35426,33900,25900,6500,0.59030837,0.486842105,0.620689655,0.671875,0.459,0.464,0.6692,FALSE
University of Arkansas Community College-Morrilton,AR,SE,0.7506,1796,9563,27500,24800,5000,0.482758621,0.422619048,0.534562212,0.692307692,,,,FALSE
